8;Wie nennen sich die Arabisch sprechenden christlichen Nachfahren der alten gypter?;Kopten;
8;Wie nennt man die Eishockey-Nationalmannschaft Schwedens?;Dreikronnen-Team;
8;Wie nennt man die Kombination aus Pullover und Jacke?;Twinset;
8;Wie nennt man im Turnen einen Handsttzberschlag rckw„rts aus dem Stand heraus?;Flickflack;
8;Wie nennt man in der Mathematik den Schnittpunkt der beiden Schenkel eines Winkels?;Scheitel;
8;Wie nennt sich der S„nger der Bloodhound-Gang?;Jimmy Pop;
8;Wie wird die Altstadt nordafrikanischer St„dte genannt?;Kasbah;
8;Wo befindet sich der Latissimus-Muskel?;Rcken;
8;Wo in Paris fand Napoleon I. die letzte Ruhe?;Invalidendom;
8;Wo kann man sich ber den Wert von Gebrauchtwagen informieren?;Schwackeliste;
8;Wo liegt die Landschaft Kampanien?;Italien;
8;Wo zahlt man in Zloty?;Polen;
8;Wobei tritt die sogenannte REM-Phase ein?;Schlaf;
8;Zu welchem Begriff lassen sich -Philosophen wie Hegel zufolge- These und Antithese verbinden?;Synthese;
9;Auf welchem Gebiet tat sich Theodor W. Adams nicht hervor?;Werbegraphik;
9;Auf wen bezog sich Stan, der Spitzname des legend„ren Fuáballers Reinhard Libuda?;Stanley Matthews;
9;Da sprach der alte H„uptling der Indianer :Wild ist der Westen, ...?;Schwer ist der Beruf;
9;Die Muskulatur welchen K”rperteils steuert der Fazialis-Nerv?;Gesicht;
9;In welchem Bundesland befindet sich das Harlinger Land?;Niedersachsen;
9;In welchem Gebirge findet man den Drachenfels?;Siebengebirge;
9;In welchen Abst„nden wird in der katholischen Kirche seit 1475 ein Heiliges Jahr gefeiert?;alle 25 Jahre;
9;In welcher Nibelungenstadt findet allj„hrlich das Backfischfest statt?;Worms;
9;In welcher Schlacht besiegte Napoleon 1805 die russischen und ”sterreichischen Truppen?;Dreikaiserschlacht;
9;In welcher Stadt wurde der M„rchenerz„hler Hans Christian Andersen geboren?;Odense;
9;In welcher Western-Serie spielt Clint Eastwood einen Viehtreiber namens Rowdy Yates?;Rawhide;
9;Mit welchem Begriff bezeichnet man eine Mischung aus konzentrierter Salz- und Salpeters„ure?;K”nigswasser;
9;Mit welchen Worten wird die Wahl eines Papstes bekannt gegeben?;Habemus Papam;
9;Nach wem wurde die Einheit der elektrischen Spannung benannt?;Alessandro Volta;
9;Unter welchem Namen machte Doris Kappelhoff Karriere beim Film?;Doris Day;
9;Unter welchem Namen wurde der Orchesterleiter James Last geboren?;Hans Last;
9;Von wann bis wann lebte Johann Wolfgang von Goethe?;1749 bis 1832;+
9;Von wem stammte das Zitat: Die Grenzen meiner Sprache sind die Grenzen meiner Welt?;Ludwig Wittgenstein;
9;Was bedeutet der franz”sische Name des Schaumgeb„cks Baiser w”rtlich?;Kuss;
9;Was ist die spanische Fliege?;K„fer;
9;Was ist die ursprngliche Bedeutung des Wortes Kultur?;Landbau;
9;Was ist ein lapsus linguae?;Versprecher;
9;Was ist ein Olifant?;Blasinstrument;
9;Was ist eine Gabelweihe?;Greifvogel;
9;Was ist laut Kommunistischem Manifest das Einzige, was die Proletarier zu verlieren haben?;Ketten;
9;Was kann man mit einem Hygrometer messen?;Luftfeuchtigkeit;
9;Was soll der M”nch Berthold Schwarz im 14. Jahrhundert erfunden haben?;Schieápulver;
9;Was versteht man unter Jitterbug?;Gesellschaftstanz;
9;Welche der folgenden Inseln gibt es nur im Mythos?;Inseln der Seligen;
9;Welche ehemalige Weltklasse-Skifahrerin wurde in Recklinghausen geboren?;Katja Seizinger;
9;Welche historische Pers”nlichkeit inspirierte Albert Lortzing zu der Oper Zar und Zimmermann?;Peter der Groáe;
9;Welche Landesteile trennt der Fluss Eider?;Schleswig/Holstein;
9;Welche Leichtathletin wurde die schwarze Gazelle genannt?;Wima Rudolph;
9;Welche literarische Figur wurde von dem Amerikaner Robert E. Howard geschaffen?;Conan, der Barbar;
9;Welche m„nnliche Stimmlage wird auch als Kastraten- oder Falsettgesang bezeichnet?;Kontratenor;
9;Welche Temperaturskala beginnt am absoluten Nullpunkt?;Kelvin-Skala;
9;Welchen Spitznamen hatte Georg Schwarzenbeck, der langj„hrige Vorstopper von Bayern Mnchen?;Katsche;
9;Welcher amerikanische Filmstar spielt in Wim Wenders Der Himmel ber Berlin sich selbst?;Peter Falk;
9;Welcher dieser Festspielorte ist fr seine Seebhne bekannt?;Brgenz;
9;Welcher Herrscher muáte in der V”lkerschlacht von Leipzig 1813 eine Niederlage einstecken?;Napoleon I.;
9;Welcher Kunstrichtung geh”rten die Maler Salvador Dali und Max Ernst an?;Surrealismus;
9;Welcher S„nger will so lange schwarze Kleidung tragen, bis es kein Unrecht mehr auf der Welt gibt?;Johnny Cash;
9;Welcher Schriftsteller verbirgt sich hinter dem Pseudonym Richard Bachmann?;Stephen King;
9;Welcher Spieler wurde zu Deutschlands Fuáballer des Jahres 2000 gew„hlt?;Oliver Kahn;
9;Welches dieser L„nder geh”rt nicht zu den La-Plata Staaten?;Bolivien;
9;Welches Ereignis, das am 23.Mai 1618 stattfand gilt als Ausl”ser des Dreiáigj„hrigen-Krieges?;Prager Fenstersturz;
9;Welches Getr„nk verlieh den griechischen G”ttern Unsterblichkeit?;Nektar;
9;Welches ist das leichteste chemische Element?;Wasserstoff;
9;Welches Schiller Drama endet mit den Worten Dem Manne kann geholfen werden?;Die R„uber;
9;Welches Zeichen vor einer Note signalisiert in der Musik die Erh”hung um einen Halbton?;Kreuz;
9;Wem unterlag Boris Becker im Wimbeldon Finale von 1991?;Michael Stich;
9;Wer grndete 1635 die Academie francaise?;Richelieu;
9;Wer ist der Titelheld des Filmklassikers Mein Freund Harvey von 1950?;Riesenhase;
9;Wer schrieb das Drama Endspiel?;Samual Beckett;
9;Wer spielte in Lola rennt den Freund, fr den sich Lola so beeilt?;Moritz Bleibtreu;
9;Wer wurde am 12. August 2000 50 Jahre alt?;Iris Berben;
9;Wie heiát das berhmte lebende Fossil, das 1938 vor der sdafrikanischen Kste entdeckt wurde?;Quastenflosser;
9;Wie heiát das sdlichste Bundesland ™sterreichs?;K„rnten;
9;Wie heiát der h”chste Berg des Hunsrck?;Erbeskopf;
9;Wie heiát die Bhnenfigur, durch die der Pantomime Marcel Marceau berhmt wurde?;Bip;
9;Wie heiát die n”rdlichste Hauptstadt der Welt?;Reykjavik;
9;Wie hieá der 1997 gestrzte Diktator von Zaire, der heutigen Demokratischen Republik Kongo?;Mabuto Sese-Seko;
9;Wie nennt man auf billigem Papier gedruckte Kriminal-, Horror- und Fantasyromane?;Pulp Fiction;
9;Wie nennt man die H„ndler, die in Paris entlang der Seine Bcher verkaufen?;Bouquinisten;
9;Wie nennt man in ™sterreich den Vorsitzenden einer Landesregierung?;Landeshauptmann;
9;Wo arbeitet Carmen aus der gleichnamigen Oper von Georges Bizet?;Zigarettenfabrik;
9;Wo entdeckte man 1868 fnf menschliche Skelette aus der Jungsteinzeit?;Cro-Magnon;
9;Wo verloren die Serben 1389 eine entscheidende Schlacht gegen die Trken?;Amselfeld;
10;Ab welcher Sichtweite darf ein Autofahrer seine Nebelschlussleuchte nicht mehr verwenden?;50 Meter;
10;An welchem Feiertag beginnt in den abendl„ndischen Kirchen das Kirchenjahr?;Erster Advent;
10;Auf welcher Insel schreib Hoffmann von Fallersleben das Deutschlandlied?;Helgoland;
10;Aus wievielen Zeilen besteht ein Limerick in der Regel?;Fnf  ;
10;Bei welchem Verein gab Carsten Jancker sein Debt in der Fuáball-Bundesliga?;1.FC K”ln;
10;Bei welcher Temperatur ist der so genannte absolute Nullpunkt erreicht?;-273,15øC;
10;Der Gott Hephaistos ist in der griechischen Mythologie zust„ndig fr Feuer und ...?;Schmiedekunst;
10;In welchem dieser Filme spilete Jack Nicholson nicht mit?;Titanic;
10;In welchem europ„ischen Land flieát ein Fluss namens Leba?;Polen;
10;In welchem Land liegt der Etoscha-Nationalpark?;Namibia;
10;Mit welchem K”rperteil besch„ftigt sich ein Laryngologe?;Kehlkopf;
10;Mit welchem lateinisschen Begriff wird die 7.Schulklasse bezeichnet?;Quarta;
10;Mit welcher Sprache ist das Ungarische verwandt?;Finnisch;
10;Um was fr ein tier handelt es sich bei der Gemseeule?;Schmetterling;
10;Unter wem weurde Borussia M”nchengladbach 1970 erstmals Deutscher Fuáballmeister?;Hannes Weisweiler;
10;Was bedeutet der lateinische Begriff Redemptor in der Religionswissenschaft?;Erl”ser;
10;Was fr ein Landsmann war der Dichter Henrik Ibsen?;Norweger;
10;Was grndete Robert Baden-Powell im Jahre 1907?;Pfadfinder;
10;Was ist eines der Symptome der so genannten Schaufenster-Krankheit?;Hinken;
10;Was ist Kalakukko?;Fischpastete;
10;Was m”chte der Comic-Held Isnogud unbedingt werden?;Kalif ;
10;Was versteht man im Kchenjargon unter einer Farce?;Fllung;
10;Was war Johann Gutenbergs Innovation beim Buchdruck?;bewegliche Lettern;
10;Welche der folgenden Krankheiten wird nicht durch Viren ausgel”st?;Tuberkulose;
10;Welche deutsche Stadt verbirgt sich hinter der franz”sischen Bezeichnung Aix-la-Chapelle?;Aachen;
10;Welche dieser Pers”nlichkeiten war nicht jdischen Glaubens?;Isaac Newton;
10;Welche Organisation bilden die Salutisten?;Heilsarmee;
10;Welche Stadt trug bei ihrer Grndung im Jahre 1950 den Namen Stalinstadt?;Eisenhttenstadt;
10;Welche Tage eines Jahres bezeichneten die R”mer als Kalenden?;1. Tag des Monats;
10;Welchem Herrschergeschlecht geh”rten die deutschen Kaiser der Jahre 1871 bis 1918 an?;Hohenzollern;
10;Welchen Teil des K”rpers kann ein Arzt mit einem Laparoskop betrachten?;Bauchh”hle;
10;Welcher afrikanische Staat hat Accra zur Hauptstadt?;Ghana;
10;Welcher der folgenden Knstler wurde nicht in der Schweiz geboren?;Caterina Valente;
10;Welcher dieser afrikanischen Staaten besitzt keine Meereskste?;Malawi;
10;Welcher dieser Schriftsteller wird nicht der so genannten Beatgeneration zugerechnet?;Jack London;
10;Welches Land regierte Stanislaus I.?;Polen;
10;Welches Stockwerk wurde frher bei Wohnh„user als Beletage bezeichnet?;1. Stock;
10;Wer schrieb Das Prinzip Hoffnung?;Ernst Bloch;
10;Wer schrieb den Gedichtband: Die Blumen des B”sen?;Baudelaire;
10;Wer schrieb den Kriminalroman Der Malteser Falke?;Dashiell Hammett;
10;Wer schuf die Gem„lde Der Mann mit Melone und Der bedrohte M”rder?;Rene Magritte;
10;Wer verhieá dem englischen Vole am 13. Mai 1940 Blut, Schweiá und Tr„nen?;Winston Churchill;
10;Wie heiát das Streichquartett, das die Songs von Metallica nachspielt?;Apocalyptica;
10;Wie heiát der Baseballtrainer aus der 80er-Jahre-TV-Serie Die B„ren sind los?;Buttermaker;
10;Wie heiát der h”chste Berg der Eifel?;Hohe Acht;
10;Wie heiát der Hund, der zusammen mit Herrn Rossi in der TV-Zeichentrickserie das Glck sucht?;Gastone;
10;Wie heiát der mit einer berlangen Zunge gesegnete Bassist der Band Kiss?;Gene Simmons;
10;Wie heiát die fl„chenm„áig gr”áte Provinz Kanadas?;Quebec;
10;Wie hieá das sowjetische šberschallverkehrsflugzeug?;Tupolew Tu-144;
10;Wie lautet der heutige Name der Stadt, die die R”mer Mogontiacum nannten?;Mainz;
10;Wie lautet die hebr„ische Form des Namens Maria?;Mirjam;
10;Wie lautet Roy Blacks brgerlicher Name?;Gerhard H”llerich;
10;Wie nennt man die Malerei an bayrischen und Tiroler Hausfassaden?;Lftlmalerei;
10;Wie vielen Kilometern entspricht eine Seemeile?;1,852;
10;Wo findet man Europas einzige frei lebende Affen?;Gibraltar;
10;Wo liegt das Franz-Josef-Land?;in der Arktis;
10;Wovon ern„hren sich Seidenspinnerraupen, die Produzenten von Naturseide?;Maulbeerbl„tter;
10;Zu welchem Staat geh”ren die Galapagosinseln?;Ecuador;
10;Zu welchem Staatsgebiet z„hlen die Mittelmeer-Inseln Gozo und Comino?;Malta;
10;Zu welcher Tierfamilie geh”rt der Vielfraá?;Marder;
11;Auf welcher Wegstrecke reiste der Mann, der vom barmherzigen Samariter gerettet wurde?;Jerusalem-Jericho;
11;Aus wie vielen Spielern besteht eine Feldhockeymannschaft?;elf;
11;Die Nationalflagge welchen Landes sieht aus wie die niederl„ndische?;Luxemburg;
11;In welcher Region wurde der Chansonier Jacques Brel geboren?;Flandern;
11;In welcher Stadt befindet sich das Grab des Gotenk”nigs Theoderich des Groáen?;Ravenna;
11;In welcher Stadt war der heilige Nikolaus, dessen Namenstag am 6.Dezember gefeiert wird, Bischof?;Myra;
11;Mit welchem Ger„t kann man kleinste Strahlungsmengen im Bereich von Mikrowellen messen?;Bolometer;
11;Unter welchem Pseudonym wurde die Filmschauspielerin Margarita Carmen Cansino berhmt?;Rita Hayworth;
11;Was entdeckte der Hamburger Kaufmann Henning Brand bei dem Versuch Gold aus Urin zu gewinnen?;Phosphor;
11;Was ist der Kernbeiáer fr ein Tier?;Vogel;
11;Was ist ein Angstr”m?;0,1 Nanometer;
11;Was ist ein Flughahn?;Fisch ;
11;Was ist ein Lorgnon?;Brille;
11;Was ist ein Makkabi?;jdischer Sportverein;
11;Was ist ein Manul?;Katzenart;
11;Was ist ein Schlemihl?;Pechvogel;
11;Was ist M„desá?;Rosengew„chs;
11;Was muss man unbedingt mitnehmen, wenn man im August nach Neuschwabenland f„hrt?;warme Kleidung;
11;Was sind in Thringen die Drei Gleichen?;Burgen;
11;Welche Inselgruppe ist noch heute eine britische Kronkolonie?;Bermudas;
11;Welchem Beruf ging der Fallbeil-Erfinder Guillotin nach?;Arzt;
11;Welchen Beruf erlernte Erich Honecker in seiner Jugend?;Dachdecker;
11;Welchen Spitznamen hat die Rock ïnï Roll-Legende Jerry Lee Lewis?;Killer;
11;Welcher der folgenden Komponisten geh”rte nicht der legend„ren Wiener Musikerfamilie Strauá an?;Richard;
11;Welcher Schriftsteller schrieb den Roman Sansibar oder der letzte Grund?;Alfred Andersch;
11;Welcher von diesen vieren ist kein New Yorker Stadtbezirk?;Haarlem;
11;Welches dieser Tiere ist eine bizarr-groteske Gestalt in Stcken der englischen Kom”die?;Pickelhering;
11;Welches Filmplakat zeigt den Bauch einer Frau und eine Hand mit einer Rose?;American Beauty;
11;Welches geheimnisvolle Tier versucht Pu der B„r in einer Grube zu fangen?;Heffalump;
11;Welches Material ist fr die Jurten genannten Rundzelte der mittelasiatischen Nomaden typisch?;Filz;
11;Wer schrieb den Roman Jahrmarkt der Eitelkeiten?;William Thackeray;
11;Wer schrieb die Eric Clapton-Hits After Midnight und Cocaine?;J.J. Cale;
11;Wer schrieb Ende des 18. Jahrhunderts den Briefroman Hyperion?;H”lderlin;
11;Wer spielt in dem Film King of Comedy den Komiker Jerry Langford?;Jerry Lewis;
11;Wer von diesen vieren ist ein Eisvogel?;Lachender Hans;
11;Wer war in der griechischen Mythologie der Vater der Musen?;Zeus;
11;Wessen Autobiographie tr„gt den Titel ... Und kein bisschen weise?;Curd Jrgens;
11;Wessen St„rke wird durch das Elo-System gemessen?;Schachspieler;
11;Wie bezeichnet man ein Gem„lde, das als Dank fr ein erh”rhtes Gebet gestiftet wird?;Votivbild;
11;Wie bezeichnet man einen Provinzstatthalter im alten Persien?;Satrap;
11;Wie heiát das Gebiet zwischen B”hmen und der Slowakei?;M„hren;
11;Wie heiát der Clown, der durch seine Seifenblasen-Nummer im Circus Roncalli berhmt wurde?;Pic ;
11;Wie heiát der Diktator, den Charlie Chaplin in seinem Film Der groáe Diktator darstellt?;Adenoid Hynkel;
11;Wie nennt man die alt„gyptischen Papyrusrollen, die man Verstorbenen als Hilfe ins Jenseits mitgab?;Totenbcher;
11;Wie nennt man die in den 60er Jahren in Lateinamerika entstandene, sotial engagierte Theologie?;Befreiungstheologie;
11;Wieviele Eins„tze hatte Sepp Herberger als aktiver Spieler in der deutschen Nationalelf?;drei ;
11;Wo sitzt die Wissenschaftliche Gesellschaft zur F”rderung der Parapsychologie?;Freiburg;
11;Wo tauchte 1828 ein junger Mann auf, der sp„ter Kaspar Hauser genannt wurde?;Nrnberg;
11;Wo wurde Roberto Blanco geboren?;Tunis;
12;Aus welchem Land stammt der dem deutschen Eulenspiegel vergleichbare Nasreddin Hodscha?;Trkei;
12;Aus welchem Land stammt die Fluglinie VARIG?;Brasilien;
12;Den Namen welches Shakespeare-Dramas wagen abergl„ubische Theaterleute nicht auszusprechen?;Macbeth;
12;In welchem Akt eines Balletts steht nicht die Handlung, sondern der Tanz im Vordergrund?;Weiáer Akt;
12;In welchem Land wurde 1971 die Umweltorganisation Greenpeace gegrndet?;Kanada;
12;In welchem Land wurde die Schriftstellerin Doris Lessing geboren?;Iran;
12;In welcher Stadt residierte Napoleon Bonapartes Bruder Jerome als K”nig von Westfalen?;Kassel;
12;In welcher Stadt starb Georg Friedrich H„ndel im Jahre 1759?;London;
12;Mit welchem Begriff wird in der Biologie die individuelle Entwicklung bezeichnet?;Ontogenese;
12;šber welchen Modesch”pfer drehte Wim Wenders 1989 einen Dokumentarfilm?;Yoji Yamamoto;
12;Unter welchem Namen wurde eine Schweizer Lokomotive aus den 20-Jahren berhmt?;Krokodil;
12;Von welchem Zeichner stammt die Comic-Figur Gaston Lagaffe?;Franquin;
12;Was bedeutet das Wort Kegel in der Redewendung mit Kind und Kegel?;uneheliches Kind;
12;Was bedeutet der malaiische Ausdruck Orang-Utan?;Waldmensch;
12;Was ist ein Judasohr?;Pilz;
12;Was ist ein Vademekum?;praktischer Ratgeber;
12;Was passiert in einer Trag”die, wenn von Peripetie die Rede ist?;Handlungsumschwung;
12;Welche dieser Frauen erhielt keinen Nobelpreis?;Indira Ghandi;
12;Welche dieser Pers”nlichkeiten war kein Architekt?;Louis J. Deguerre;
12;Welche dieser Redewendungen stammt aus dem Stck K”nig Lear von Shakespear?;Last, not least;
12;Welche Stadt am Teutoburger Wald hat die Sparrenburg zum Wahrzeichen?;Bielefeld;
12;Welche Tiere t”ten in der griechischen Mythologie den Priester Laokoon?;Schlangen;
12;Welche Zahl entspricht der mathematische Ausdruck 4!?;24;
12;Welchem Club wurde aus ethischen und moralischen grnden vom DFB untersagt, fr Kondome zu werben?;FC Homburg;
12;Welcher der folgenden Schriftsteller stammt nicht aus Lateinamerika?;Garcia Lorca;
12;Welcher dieser Herren geh”rt nicht zum Typenkanon der Commedia dellï Arte?;Casanova;
12;Wer geh”rte nicht zu den Beach Boys?;Harold Wilson;
12;Wer grndete 1933 das Theater der Grausamkeit?;Antonin Artaud;
12;Wer rammte sich beim Dirigieren den Taktstock in den Fuá und starb darauf an einer Blutvergiftung?;Jean-Baptist Lully;
12;Wer schrieb das H”rspiel Unter dem Milchwald?;Dylan Thomas;
12;Wer berquerte als Erster nonstop im Flugzeug den Atlantischen Ozean?;Alcock / Whitten-Brown;
12;Wie bezeichnet man ein Buch, das Teil eines mehrb„ndigen Werkes ist?;Volumen;
12;Wie heiát der Ehemann der Comic-Heldin Blondie?;Dagwood;
12;Wie heiát der Verbrecherk”nig, der von Pater Brown auf den rechten Weg gebracht wird?;Flambeau;
12;Wie heiát der westliche Teil der arabisch-islamischen Welt?;Maghreb;
12;Wie hieá der S„nger von Foyer des Arts?;Max Goldt;
12;Wie lautet der Titel des ersten Romans von Hermann Hesse?;Peter Carmenzind;
12;Wie nennt man in der Lexikographie ein Stichwort in einem Nachschlagewerk?;Lemma;
12;Zu einem der berhmtesten P„rchen des Mittelalters wurden Pierre Abelard und seine Schlerin ...?;Heloise;
13;Wir kennen deine Stimme, wir kennen dein Gesicht, darum m”gen wir dich nicht, hieá es in ...?;Das Lied von Manuel;
13;Auf welchem Album von Frank Zappa erschien der Song Bobby Brown?;Sheik Yerbouti;
13;Auf welchem Planeten findet man den Groáen Roten Fleck, einen gigantischen Wolkenwirbel?;Jupiter;
13;Aus welchem Unternehmen ging die berhmte englische Versicherung Lloyd`s hervor?;Kaffeehaus;
13;Bei welchem dieser Filme fhrte Sylvester Stallone Regie?;Staying Alive;
13;Nach wem benannte sich die Rockgruppe Jethro Tull?;Schriftsteller;
13;Von wem stammen legend„re Alben wie Birth of Cool, Kind of Blue oder Bitches Brew?;Miles Davis;
13;Was ist Grauwacke?;Gesteinsart;
13;Was kann ein Kontimeter feststellen?;Staubgehalt der Luft;
13;Was wurde nach John Baskerville benannt?;Kursivdruckschrift;
13;Welche chemischen Verbindungen setzen sich aus Wasser und zwei verschiedenartigen Salzen zusammen?;Alaune;
13;Welche Familie riss 1277 die Macht in Mailand an sich?;Visconti;
13;Welchem Beruf ging Theodor Fontane nach, bevor er sich der Schriftstellerei widmete?;Apotheker;
13;Welcher Kontinent ist die Heimat des Kaffebaums?;Afrika;
13;Welcher Zehnk„mpfer gewann bei den Olympischen Spielen 1984 die Bronzemedaille?;Siggi Wentz;
13;Welches dieser heute unabh„ngigen L„nder geh”rte frher nicht zu Britisch-Ostafrika?;Botswana;
13;Wem gelang der experimentelle Nachweis, dass ein Vakuum knstlich herstellbar ist?;Otto von Guericke;
13;Wer komponierte den Evergreen Adieu, mein kleiner Gardeoffizier?;Robert Stoltz;
13;Wer wurde einst als Volk der Lachen bekannt?;Polen;
13;Wie heiát die allj„hrlich in Dortmund stattfindende Jugendmesse?;You;
13;Wie heiát die Gegend um Recklinghausen?;Vest;
13;Wie lautet das Pseudonym des Malers und Graffiti-Sprayers Jean-Michel Baptiste?;Samo;
13;Wie lautet Zorros brgerlicher Name?;Diego de la Vega;
13;Wo leben nach der griechischen Mythologie die Dryaden?;auf B„umen;
13;Womit besch„ftigt sich ein Onomastiker?;Namenskunde;
14;Der 1978 wegen seiner liberalen Politik ermordete Brgermeister von San Fransisco hieá ...?;George Moscone;
14;Hinter welchem dieser Begriffe versteckt sich eine Wissenschaftsgemeinschaft?;Blaue Liste;
14;In welchem Land herrschte im 14. Jahrhundert Johann der Blinde?;B”hmen;
14;Von wem stammte das Kabarett-Programm Heute kommï ich mal mit mein Bein?;Dr. Lutger Stratmann;
14;Was entdeckten die Chemiker Fahlberg und Remsen bereits 1879?;Saccharin;
14;Welche antike Stadt glaubt ein Franzose im Frhjahr 2000 auf dem Meeresgrund entdeckt zu haben?;Herakleion;
14;Welche dieser Inseln geh”rt zu den Pityusen?;Ibiza;
14;Welche vom Innenohr ausgel”sten Reflexe, dienen der Erhaltung des Gleichgewichts?;Vestibularreflex;
14;Welchen Schalker Spieler biss 1969 im Dortmunder Stadion Rote Erde ein Hund in den Allerwertesten?;Friedel Rausch;
14;Welcher deutsche Schlagers„nger fhrte 1980 Regie bei dem Film Die Todesg”ttin des Liebescamps?;Christian Anders;
14;Welches Autorenduo schrieb die Erz„hlung Papa Hamlet?;Holz-Schlaf;
14;Welches Stck endet mit: Nun gute Nacht! Das Spiel zu enden, begrát uns mit gewogenen H„nden!?;Sommernachtstraum;
14;Wer schrieb ein Werk ber die Deutung des Charakters eines Menschen aus dessen Gesichtsform?;Johann Lavatar;
14;Wie bezeichnen Kernphysiker die Protonen- oder Neutronenzahlen 2,8,20,28,50,82 und 126?;Magische Zahlen;
14;Wie bezeichnet man in der Juristensprache den Zusatz ohne Gew„hr?;Angstklausel;
14;Wie heiát der abgeschlossene Raum einer Moschee, in dem islamische Herrscher Platz nehmen?;Maksura;
14;Wie heiát der einzige Sohn von Gina Lollobrigida?;Miko;
14;Wie heiát die Hauptfigur des traditionellen, volkstmlichen trkischen Figurentheaters?;Karag”z;
14;Wie hieá der 1630 verstorbene Komponist, der auch Frst von Venosa war?;Carlo Gesualdo;
14;Wo hat die „lteste noch bestehende mathematische Gesellschaft ihren Sitz?;Hamburg;
15;Auf welcher isl„ndischen Insel liegt der Ort Vestmannaeyjar?;Heimaey;
15;Mit welcher seiner Lebensgef„hrtinnen hatte Pablo Picasso die Kinder Claude und Paloma?;Francoise Gilot;
15;Von welchem Pionier des Spielfilms stammt der 1902 entstandene Trickfilm Die Reise zum Mond?;Georges Meliese;
15;Was bot ein amerikanischer Lebensmittelh„ndler am 6. Juni 1930 weltweit zum ersten Mal an?;Tiefkhlkost;
15;Was ist die Aufgabe eines Thanatopraktikers?;Leichen herrichten;
15;Was ist laut dem Philosophen Martin Heidegger die Essenz der Technologie?;Das Gestell;
15;Was stellen die zwei chinesischen Schriftzeichen des Wortes hao dar, das gut bedeutet?;Dach und Frau;
15;Welcher Berliner Stadtbezirk hieá frher Rixdorf?;Neuk”lln;
15;Welcher britische Dichter verfasste ein Poem ber den schwebenden Palast des Kublai Khan?;Samuel Coleridge;
15;Welcher der folgenden Namen bezeichnet keinen israelitischen Stamm des Alten Testaments?;Moab;
15;Welcher dieser Torhter erzielte kein Tor in der Ersten Fuáball-Bundesliga?;Toni Turek;
15;Wer spielte 1971 die Hauptrolle in dem Siegfried und das sagenhafte Liebesleben der Nibelungen?;Raimund Harmstorf;
15;Wo steht :Lass deinen Mund sein wie guter Wein und Dein Schoá ist wie ein runder Becher?;Hohelied Salomos;
15;Woher stammt die Sportart Fierljeppen, bei der man mit einem Stab ber einen Kanal springt?;Niederlande;
